,author,feature,token_id,doc_id,to_report,doc_tested,len
49980,DtrH,c,31093,DtrH|2Kgs.17,True,2Kgs.17,530
49981,DtrH,5715,31094,DtrH|2Kgs.17,True,2Kgs.17,530
49982,DtrH,[Sp3ms],31094,DtrH|2Kgs.17,True,2Kgs.17,530
49983,DtrH,834,31095,DtrH|2Kgs.17,True,2Kgs.17,530
49984,DtrH,5749,31096,DtrH|2Kgs.17,True,2Kgs.17,530
49985,DtrH,b,31097,DtrH|2Kgs.17,True,2Kgs.17,530
49986,DtrH,[Sp3mp],31097,DtrH|2Kgs.17,True,2Kgs.17,530
49987,DtrH,b,31097,DtrH|2Kgs.17,True,2Kgs.17,530
49988,DtrH,3212,31098,DtrH|2Kgs.17,True,2Kgs.17,530
49989,DtrH,c,31098,DtrH|2Kgs.17,True,2Kgs.17,530
49990,DtrH,310,31099,DtrH|2Kgs.17,True,2Kgs.17,530
49991,DtrH,d,31100,DtrH|2Kgs.17,True,2Kgs.17,530
49992,DtrH,1892,31100,DtrH|2Kgs.17,True,2Kgs.17,530
49993,DtrH,c,31101,DtrH|2Kgs.17,True,2Kgs.17,530
49994,DtrH,1891,31101,DtrH|2Kgs.17,True,2Kgs.17,530
49995,DtrH,310,31102,DtrH|2Kgs.17,True,2Kgs.17,530
49996,DtrH,c,31102,DtrH|2Kgs.17,True,2Kgs.17,530
49997,DtrH,1471,31103,DtrH|2Kgs.17,True,2Kgs.17,530
49998,DtrH,d,31103,DtrH|2Kgs.17,True,2Kgs.17,530
49999,DtrH,834,31104,DtrH|2Kgs.17,True,2Kgs.17,530
50000,DtrH,5439,31105,DtrH|2Kgs.17,True,2Kgs.17,530
50001,DtrH,[Sp3mp],31105,DtrH|2Kgs.17,True,2Kgs.17,530
50002,DtrH,834,31106,DtrH|2Kgs.17,True,2Kgs.17,530
50003,DtrH,6680,31107,DtrH|2Kgs.17,True,2Kgs.17,530
50004,DtrH,<Np>,31108,DtrH|2Kgs.17,True,2Kgs.17,530
